effective_date,name,old_ticker,new_ticker,reason
9/1/2015,ACRES Commercial Realty Corp,R9L GR,R9L1 GR,Reverse Stock Split
9/1/2015,Liberty Health Sciences Inc,S6U GR,S6UN GR,Reverse Stock Split
9/2/2015,Pilbara Minerals Ltd,M6T GR,PLR GR,Unofficial Change to Comply with Exchange
9/2/2015,Bebra Biogas Holding AG,EBG GR,EBGK GR,Reverse Stock Split
9/3/2015,Golden Land Property Development PCL,GL6F GR,GL6B GR,No Reason Supplied by Exchange
9/3/2015,Vonovia SE,ANN GR,VNA GR,Name Change
9/3/2015,Edesa Biotech Inc,RBT GR,RBTN GR,Reverse Stock Split
9/4/2015,Canuc Resources Corp,C8S GR,C8SN GR,Reverse Stock Split
9/7/2015,Columbus Energy Ltd,G9P1 GR,G9P2 GR,Reverse Stock Split
9/7/2015,ARCA biopharma Inc,HQ13 GR,HQ1N GR,Reverse Stock Split
9/7/2015,Indiva Ltd,T8R1 GR,T8RN GR,Reverse Stock Split
9/10/2015,Swiber Holdings Ltd,SW7 GR,SW7N GR,Reverse Stock Split
9/10/2015,Proactis Sarl,HUD GR,HUO GR,No Reason Supplied by Exchange
9/11/2015,TFCF Corp,NXWA GR,NWXA GR,Unofficial Change to Comply with Exchange
9/15/2015,Totally PLC,UKX GR,UKXA GR,Reverse Stock Split
9/15/2015,BitRush Corp,0XS GR,0XSN GR,No Reason Supplied by Exchange
9/15/2015,Pacific Silk Road Resources Group Inc,P9P GR,P9PN GR,Reverse Stock Split
9/16/2015,VBH Holding AG,VBH GR,VBHK GR,Reverse Stock Split
9/16/2015,Gold X Mining Corp,SRX GR,SRX1 GR,Reverse Stock Split
9/16/2015,TAAT Global Alternatives Inc,2TP GR,2TP1 GR,Reverse Stock Split
9/17/2015,Intertainment Media Inc,I4T GR,I4T1 GR,Reverse Stock Split
9/18/2015,Ultra Resources Inc,QFB GR,QFB1 GR,Reverse Stock Split
9/18/2015,Akari Therapeutics PLC,CLAA GR,CLAB GR,Unofficial Change to Comply with Exchange
9/21/2015,SIIC Environment Holdings Ltd,A9W GR,A9W1 GR,Reverse Stock Split
9/22/2015,Laboratorio Reig Jofre SA,FEQ GR,FEQ1 GR,Reverse Stock Split
9/23/2015,Farnova Group Holdings Ltd,YM2A GR,YM2B GR,No Reason Supplied by Exchange
9/24/2015,TORM A/S,D8D GR,D8DA GR,Reverse Stock Split
9/24/2015,Hansen Medical Inc,H9M GR,H9M1 GR,Reverse Stock Split
9/24/2015,MMC Norilsk Nickel PJSC,NNIA GR,NNIC GR,No Reason Supplied by Exchange
9/25/2015,Baytex Energy Corp,BEV GR,B5X GR,Unofficial Change to Comply with Exchange
9/25/2015,Lattice Biologics Ltd,B5G GR,B5G1 GR,Reverse Stock Split
9/28/2015,ALX Resources Corp,6LL GR,6LLN GR,Reverse Stock Split
9/29/2015,Comstock Holding Cos Inc,CHO GR,CHO1 GR,Reverse Stock Split
9/30/2015,Berentzen-Gruppe AG,BEZ3 GR,BEZS GR,Reclassification of Shares
9/30/2015,Sectra AB,ECRB GR,ECRC GR,No Reason Supplied by Exchange
9/30/2015,Acer Therapeutics Inc,P6NN GR,P6NP GR,Reverse Stock Split
10/1/2015,Peabody Energy Corp,PE5 GR,PE51 GR,Reverse Stock Split
10/1/2015,CalAtlantic Group Inc/old,SGX GR,SGX1 GR,Reverse Stock Split
10/1/2015,Titan Pharmaceuticals Inc,TN7 GR,TN71 GR,Reverse Stock Split
10/1/2015,SDX Energy Inc,76S GR,76S1 GR,Reverse Stock Split
10/1/2015,Orex Minerals Inc,OV2N GR,ORS GR,No Reason Supplied by Exchange
10/1/2015,True Corp PCL,TAFF GR,TAFG GR,No Reason Supplied by Exchange
10/1/2015,Global Brokerage Inc,YFX GR,YFX1 GR,Reverse Stock Split
10/2/2015,Azincourt Energy Corp,A0U1 GR,A0U2 GR,Reverse Stock Split
10/2/2015,Southern Arc Minerals Inc,S6A GR,S6A1 GR,Reverse Stock Split
10/2/2015,Rackla Metals Inc,RLH GR,RLH1 GR,Reverse Stock Split
10/5/2015,ESGTI AG,02T GR,02TP GR,Reverse Stock Split
10/6/2015,Avita Medical Ltd,GCR1 GR,GCR GR,Unofficial Change to Comply with Exchange
10/8/2015,Berentzen-Gruppe AG,BEZS GR,BEZ GR,No Reason Supplied by Exchange
10/8/2015,Anavex Life Sciences Corp,12X GR,12X1 GR,Reverse Stock Split
10/12/2015,Hornbach Holding AG & Co KGaA,HBH3 GR,HBH GR,Reclassification of Shares
10/12/2015,Archer Ltd,8SW GR,8SW1 GR,Unofficial Change to Comply with Exchange
10/14/2015,Bashneft PJSC,AK6 GR,AK61 GR,No Reason Supplied by Exchange
10/16/2015,Acasti Pharma Inc,A1P GR,A1PA GR,Unofficial Change to Comply with Exchange
10/19/2015,Freedom Energy Inc,B1H1 GR,B1H2 GR,Unofficial Change to Comply with Exchange
10/19/2015,Farnova Group Holdings Ltd,YM2B GR,YM2C GR,Unofficial Change to Comply with Exchange
10/20/2015,Fastator AB,R71 GR,R71A GR,Reverse Stock Split
10/20/2015,Lifevantage Corp,L2T GR,L2T1 GR,Unofficial Change to Comply with Exchange
10/21/2015,Castle Resources Inc,1CA GR,1CA1 GR,Reverse Stock Split
10/21/2015,Cardero Resource Corp,CR5 GR,CR51 GR,Unofficial Change to Comply with Exchange
10/21/2015,Atalaya Mining PLC,E5S GR,E5S1 GR,Unofficial Change to Comply with Exchange
10/22/2015,EMS Energy Ltd,E2K GR,E2KN GR,No Reason Supplied by Exchange
10/23/2015,Empire Metals Corp,JPDA GR,JPDB GR,Unofficial Change to Comply with Exchange
10/26/2015,Solocal Group,QS3 GR,QS31 GR,Reverse Stock Split
10/26/2015,Mr Price Group Ltd,M5M GR,M5M1 GR,No Reason Supplied by Exchange
10/26/2015,Castleton Technology PLC,RD2C GR,RD2D GR,Reverse Stock Split
10/28/2015,Ryanair Holdings PLC,RY4B GR,RY4C GR,Reverse Stock Split
10/28/2015,Ryanair Holdings PLC,RY4A GR,RY4D GR,Reverse Stock Split
10/28/2015,SUTL Enterprise Ltd,YAV GR,YAV1 GR,Unofficial Change to Comply with Exchange
10/28/2015,SEEC Media Group Ltd,IT4 GR,SHU GR,Unofficial Change to Comply with Exchange
10/29/2015,General Steel Holdings Inc,3GL GR,3GL1 GR,Reverse Stock Split
10/30/2015,DXI Capital Corp,D5R GR,D5R1 GR,Reverse Stock Split
10/30/2015,Ocean Power Technologies Inc,RUOA GR,RUOB GR,Reverse Stock Split
11/2/2015,LCT Holdings Ltd,L5N GR,L5N1 GR,Reverse Stock Split
11/2/2015,HP Inc,HWP GR,7HP GR,Reverse Stock Split
11/3/2015,NorthStar Realty Finance Corp/old,NQE1 GR,NQEA GR,Unofficial Change to Comply with Exchange
11/5/2015,Xoom Corp,X0M GR,XOM GR,Unofficial Change to Comply with Exchange
11/6/2015,Desarrolladora Homex SAB de CV,EZH GR,EZHA GR,Reverse Stock Split
11/6/2015,Ciner Resources LP,0863056DGR,2OC GR,Unofficial Change to Comply with Exchange
11/6/2015,XOMA Corp,XOMA GR,X0M GR,Unofficial Change to Comply with Exchange
11/6/2015,Koda Ltd,JD8 GR,JD8A GR,Unofficial Change to Comply with Exchange
11/9/2015,Broadspectrum Pty Ltd,TRD GR,TRDB GR,Unofficial Change to Comply with Exchange
11/10/2015,Capstone Green Energy Corp,TBN GR,TBN1 GR,Unofficial Change to Comply with Exchange
11/10/2015,iMetal Resources Inc,A7V GR,A7V1 GR,Unofficial Change to Comply with Exchange
11/11/2015,Hercules Offshore Inc,H6X GR,H6XA GR,No Reason Supplied by Exchange
11/12/2015,Ernst Russ AG,HXCI GR,HXCK GR,Reverse Stock Split
11/12/2015,Primary Health Properties PLC,PP5 GR,PP51 GR,Unofficial Change to Comply with Exchange
11/13/2015,Agra Ventures Ltd,HR2P GR,PU3 GR,Unofficial Change to Comply with Exchange
11/16/2015,Auden AG,KKL GR,KKLK GR,Reverse Stock Split
11/17/2015,Shinvest Holding Ltd,EGK1 GR,EGKB GR,Reverse Stock Split
11/17/2015,Sin Heng Heavy Machinery Ltd,SNV GR,SNVA GR,Unofficial Change to Comply with Exchange
11/17/2015,China Shenshan Orchard Holdings Co Ltd,T4D GR,T4DA GR,Unofficial Change to Comply with Exchange
11/18/2015,LeadFX Inc,IWEA GR,IWEL GR,Unofficial Change to Comply with Exchange
11/19/2015,Alumexx NV,NE8D GR,NE8E GR,Unofficial Change to Comply with Exchange
11/19/2015,Avi-Tech Electronics Ltd,3A3 GR,3A3N GR,Unofficial Change to Comply with Exchange
11/19/2015,Velocity Minerals Ltd,VMSN GR,VMSP GR,Unofficial Change to Comply with Exchange
11/19/2015,GoldOn Resources Ltd,6NR1 GR,6NR2 GR,Unofficial Change to Comply with Exchange
11/19/2015,Academy Metals Inc,UJN1 GR,UJN2 GR,Unofficial Change to Comply with Exchange
11/20/2015,Centurion Minerals Ltd,XJC GR,XJCA GR,Unofficial Change to Comply with Exchange
11/20/2015,Aeterna Zentaris Inc,ET81 GR,ET82 GR,Unofficial Change to Comply with Exchange
11/20/2015,Stellar Diamonds PLC,L4LA GR,L4LB GR,Unofficial Change to Comply with Exchange
11/20/2015,SEEC Media Group Ltd,SHU GR,SHUA GR,Unofficial Change to Comply with Exchange
11/20/2015,Global X Silver Miners ETF,4GX3 GR,7GXT GR,Unofficial Change to Comply with Exchange
11/20/2015,Global X Lithium & Battery Tech ETF,4GX1 GR,7GXQ GR,Unofficial Change to Comply with Exchange
11/20/2015,Global X Copper Miners ETF,4GX4 GR,7GXP GR,Unofficial Change to Comply with Exchange
11/20/2015,Global X Uranium ETF,4GXR GR,7GXS GR,Unofficial Change to Comply with Exchange
11/20/2015,Global X Gold Explorers ETF,4GXX GR,7GXR GR,Unofficial Change to Comply with Exchange
11/20/2015,VinaCapital Vietnam Opportunity Fund Ltd,VM6 GR,1VV GR,Unofficial Change to Comply with Exchange
11/23/2015,Crestwood Equity Partners LP,IY1 GR,IY12 GR,Unofficial Change to Comply with Exchange
11/23/2015,Nymox Pharmaceutical Corp,NY2 GR,NYM GR,Unofficial Change to Comply with Exchange
11/25/2015,Era Resources Inc,IMM1 GR,IMMA GR,Unofficial Change to Comply with Exchange
11/26/2015,Darco Water Technologies Ltd,D3X GR,D3XA GR,Unofficial Change to Comply with Exchange
11/27/2015,Suntar Eco-City Ltd,3R3 GR,3R3A GR,Unofficial Change to Comply with Exchange
11/30/2015,Megumagold Corp,2CM1 GR,2CM2 GR,Unofficial Change to Comply with Exchange
11/30/2015,Acorn International Inc,FEM GR,FEMA GR,Unofficial Change to Comply with Exchange
12/1/2015,Aroundtown SA,777 GR,AT1 GR,Unofficial Change to Comply with Exchange
12/1/2015,Ascent Resources PLC,A2N GR,A2N1 GR,Unofficial Change to Comply with Exchange
12/2/2015,Eurobank Ergasias Services and Holdings SA,EFGC GR,EFGD GR,Reverse Stock Split
12/2/2015,Alpha Services and Holdings SA,ACB GR,ACBB GR,Reverse Stock Split
12/2/2015,Piraeus Financial Holdings SA,BKP1 GR,BKP2 GR,Reverse Stock Split
12/2/2015,Datapulse Technology Ltd,DTP GR,DTPA GR,Unofficial Change to Comply with Exchange
12/2/2015,Endeavour Mining Corp,E5Y GR,E5Y1 GR,Unofficial Change to Comply with Exchange
12/2/2015,CorEnergy Infrastructure Trust Inc,YJE GR,YJEB GR,Unofficial Change to Comply with Exchange
12/2/2015,Billabong International Ltd,BB6 GR,BB61 GR,Unofficial Change to Comply with Exchange
12/3/2015,Advanced Holdings Ltd,V1T GR,V1T1 GR,Unofficial Change to Comply with Exchange
12/3/2015,NeuroMetrix Inc,NLZB GR,NLZC GR,Unofficial Change to Comply with Exchange
12/3/2015,XpresSpa Group Inc,V9G GR,V9G1 GR,Unofficial Change to Comply with Exchange
12/3/2015,National Bank of Greece SA,NAG1 GR,NAGE GR,Unofficial Change to Comply with Exchange
12/3/2015,National Bank of Greece SA,NAGD GR,NAGN GR,Unofficial Change to Comply with Exchange
12/3/2015,Nicox,NXO GR,NXOA GR,Unofficial Change to Comply with Exchange
12/7/2015,FuelCell Energy Inc,FEY GR,FEY1 GR,Unofficial Change to Comply with Exchange
12/7/2015,Australian Vanadium Ltd,JT7 GR,JT71 GR,Unofficial Change to Comply with Exchange
12/9/2015,Alpha Services and Holdings SA,ACBA GR,ACBC GR,Reverse Stock Split
12/10/2015,Matica Technologies AG,D7S GR,MT3 GR,No Reason Supplied by Exchange
12/14/2015,Alon Blue Square Israel Ltd,BJJ GR,BJJA GR,Unofficial Change to Comply with Exchange
12/14/2015,Starcore International Mines Ltd,V4J GR,V4JA GR,Unofficial Change to Comply with Exchange
12/15/2015,SEVEN PRINCIPLES AG,T3T GR,T3T1 GR,Reverse Stock Split
12/15/2015,China Resources and Transportation Group Ltd,ZP3A GR,ZP3C GR,Unofficial Change to Comply with Exchange
12/16/2015,China Star Entertainment Ltd,CQSB GR,CQSN GR,Unofficial Change to Comply with Exchange
12/16/2015,CHC Group Ltd,61C GR,61C1 GR,Unofficial Change to Comply with Exchange
12/17/2015,GigaMedia Ltd,GIF GR,GIFN GR,Unofficial Change to Comply with Exchange
12/18/2015,Sibanye UK Ltd,LRH GR,LRH1 GR,Reverse Stock Split
12/18/2015,Stakeholder Gold Corp,SW0 GR,SW0N GR,Reverse Stock Split
12/21/2015,Allied Irish Banks PLC,AIB GR,AIB1 GR,Reverse Stock Split
12/21/2015,China NT Pharma Group Co Ltd,0PN GR,0NP GR,Unofficial Change to Comply with Exchange
12/21/2015,Watchstone Group PLC,M6FA GR,M6FE GR,Unofficial Change to Comply with Exchange
12/21/2015,ArcPacific Resources Corp,P21 GR,P21N GR,Unofficial Change to Comply with Exchange
12/21/2015,Mobio Technologies Inc,MV8 GR,MV8N GR,Unofficial Change to Comply with Exchange
12/23/2015,Red Rock Resources PLC,R2T GR,R2TA GR,Unofficial Change to Comply with Exchange
12/23/2015,Kencana Agri Ltd,KEB GR,KEBA GR,Unofficial Change to Comply with Exchange
12/23/2015,Magnetite Mines Ltd,R8Q GR,R8Q1 GR,Unofficial Change to Comply with Exchange
12/28/2015,Yingli Green Energy Holding Co Ltd,YG11 GR,YG12 GR,Reverse Stock Split
12/29/2015,Fluence Corp Ltd,4SV GR,4SVE GR,Unofficial Change to Comply with Exchange
12/29/2015,EVENT Hospitality and Entertainment Ltd,AQH GR,AQHE GR,Unofficial Change to Comply with Exchange
12/29/2015,Battalion Oil Corp,RAQH GR,RAQJ GR,Unofficial Change to Comply with Exchange
12/29/2015,Targeted Microwave Solutions Inc,T65 GR,T651 GR,Unofficial Change to Comply with Exchange
12/30/2015,Hubbell Inc,HUEB GR,HUEC GR,Unofficial Change to Comply with Exchange
1/4/2016,Ferrari NV,FR6 GR,2FE GR,No Reason Supplied by Exchange
1/4/2016,Grifols SA,OZT GR,OZTA GR,Unofficial Change to Comply with Exchange
1/5/2016,Kindred Group PLC,UTP GR,UNBA GR,Unofficial Change to Comply with Exchange
1/5/2016,North Atlantic Drilling Ltd,2NAB GR,2NAE GR,Unofficial Change to Comply with Exchange
1/5/2016,ESW Holdings Inc,WVYB GR,WVYC GR,Unofficial Change to Comply with Exchange
1/5/2016,Lattice Biologics Ltd,B5G1 GR,B5G2 GR,Unofficial Change to Comply with Exchange
1/5/2016,Eneti Inc,SR4 GR,SR41 GR,Unofficial Change to Comply with Exchange
1/6/2016,Sterling Metals Corp,LAC GR,LACA GR,Unofficial Change to Comply with Exchange
1/6/2016,Forest Investments Inc,PNC1 GR,PNC2 GR,Unofficial Change to Comply with Exchange
1/7/2016,RIB Software SE,RSTA GR,RIB GR,Unofficial Change to Comply with Exchange
1/7/2016,ReShape Lifesciences Inc/CA,BY8N GR,BY8A GR,Unofficial Change to Comply with Exchange
1/7/2016,Isodiol International Inc,LB6 GR,LB6A GR,Unofficial Change to Comply with Exchange
1/7/2016,Xtrackers II US Treasuries UCITS ETF,D5BD GR,XTUD GR,Unofficial Change to Comply with Exchange
1/8/2016,Willis Towers Watson PLC,WGK GR,WTY GR,Unofficial Change to Comply with Exchange
1/11/2016,Johnson Matthey PLC,JMT1 GR,JMT2 GR,Reverse Stock Split
1/12/2016,Seanergy Maritime Holdings Corp,RHSN GR,RHSP GR,Reverse Stock Split
1/12/2016,Liberbank SA,L6B GR,L6BA GR,Unofficial Change to Comply with Exchange
1/12/2016,Mechel PJSC,MHSA GR,MHSG GR,Unofficial Change to Comply with Exchange
1/13/2016,Kingsmen Resources Ltd,TUY1 GR,TUY2 GR,Unofficial Change to Comply with Exchange
1/13/2016,FIH Group plc,FBLN GR,FBLM GR,Unofficial Change to Comply with Exchange
1/13/2016,Ten Network Holdings Ltd,TWG GR,TWGB GR,Unofficial Change to Comply with Exchange
1/13/2016,Xtrackers II US Treasuries UCITS ETF,XTUD GR,XUTD GR,Unofficial Change to Comply with Exchange
1/14/2016,Star Bulk Carriers Corp,4FA GR,4FAN GR,Unofficial Change to Comply with Exchange
1/15/2016,Elanix Biotechnologies AG,PFTA GR,ELN GR,No Reason Supplied by Exchange
1/19/2016,FreeSeas Inc,FS23 GR,FS24 GR,Unofficial Change to Comply with Exchange
1/20/2016,AM Gold Inc,AMX2 GR,AMX3 GR,Unofficial Change to Comply with Exchange
1/20/2016,Halio Energy Inc,TD6 GR,TD61 GR,Unofficial Change to Comply with Exchange
1/21/2016,Aeon Metals Ltd,D6V GR,D6V1 GR,Unofficial Change to Comply with Exchange
1/22/2016,Universal Outdoor Group PLC,TFGB GR,TFGC GR,Unofficial Change to Comply with Exchange
1/26/2016,Windtree Therapeutics Inc,DYBN GR,DYBP GR,Unofficial Change to Comply with Exchange
1/26/2016,Avacta Group PLC,RTQ GR,RTQ1 GR,Unofficial Change to Comply with Exchange
1/26/2016,Aeon Global Health Corp,BID1 GR,BID2 GR,Unofficial Change to Comply with Exchange
1/26/2016,SiNtx Technologies Inc,111 GR,111N GR,Unofficial Change to Comply with Exchange
1/26/2016,TROOPS Inc,SG5 GR,SG51 GR,Unofficial Change to Comply with Exchange
1/26/2016,New Tech Minerals Corp,2P3 GR,2P31 GR,Unofficial Change to Comply with Exchange
1/27/2016,Allied Copper Corp,S9GC GR,S9GD GR,Unofficial Change to Comply with Exchange
1/28/2016,Melrose Industries PLC,27M GR,27MA GR,Unofficial Change to Comply with Exchange
1/28/2016,A-Smart Holdings Ltd,IOT GR,IOTA GR,Unofficial Change to Comply with Exchange
1/28/2016,Platinum Group Metals Ltd,P6M GR,P6MA GR,Unofficial Change to Comply with Exchange
1/28/2016,Salona Global Medical Device Corp,6IF GR,6IFA GR,Unofficial Change to Comply with Exchange
1/28/2016,Protean Energy Ltd,SHE GR,SHE1 GR,Unofficial Change to Comply with Exchange
2/1/2016,Oi SA,TSLB GR,TSLL GR,Unofficial Change to Comply with Exchange
2/1/2016,Centric Brands LLC,IVO GR,IVOA GR,Unofficial Change to Comply with Exchange
2/2/2016,CombiMatrix Corp,AZG4 GR,AZG5 GR,Reverse Stock Split
2/2/2016,TC PipeLines LP,XPP GR,TC0 GR,No Reason Supplied by Exchange
2/3/2016,Frontline Ltd/Bermuda,FRL GR,FRLN GR,Reverse Stock Split
2/4/2016,3517667 Canada Inc,DWF GR,DWFN GR,Unofficial Change to Comply with Exchange
2/5/2016,ION Geophysical Corp,IO8 GR,IO8N GR,Unofficial Change to Comply with Exchange
2/5/2016,Easy Technologies Inc,EY61 GR,EY62 GR,Reverse Stock Split
2/8/2016,HMS Hydraulic Machines & Systems Group PLC,H0H GR,H0H1 GR,Reverse Stock Split
2/8/2016,Biostar Pharmaceuticals Inc,7BNA GR,7BNB GR,Reverse Stock Split
2/9/2016,Goldex Resources Corp,G6T1 GR,G6T2 GR,Reverse Stock Split
2/10/2016,Intercontinental Gold and Metals Ltd,G2W1 GR,G2W2 GR,Reverse Stock Split
2/12/2016,CMC Metals Ltd,ZM5 GR,ZM5N GR,Reverse Stock Split
2/15/2016,JPMorgan Funds - Asia Growth Fund,JPMJFAP GR,JP5M GR,Unofficial Change to Comply with Exchange
2/16/2016,Heng Tai Consumables Group Ltd,HEQ GR,HEQ1 GR,Unofficial Change to Comply with Exchange
2/18/2016,Dextera Surgical Inc,C5V GR,C5V1 GR,Unofficial Change to Comply with Exchange
2/22/2016,Black Mammoth Metals Corp,LQK GR,LQK2 GR,Unofficial Change to Comply with Exchange
2/22/2016,Natural Resource Partners LP,NRZ GR,NRZ1 GR,Unofficial Change to Comply with Exchange
2/22/2016,WestJet Airlines Ltd,WC4 GR,WC41 GR,Unofficial Change to Comply with Exchange
2/22/2016,North Atlantic Drilling Ltd,2NAE GR,2NAC GR,Unofficial Change to Comply with Exchange
2/22/2016,China Housing & Land Development Inc,4CL1 GR,4CL2 GR,Unofficial Change to Comply with Exchange
2/22/2016,SPDR S&P International Technology Sector ETF,0597778DGR,SSGH GR,Unofficial Change to Comply with Exchange
2/23/2016,Odyssey Marine Exploration Inc,OYM GR,OYM1 GR,Unofficial Change to Comply with Exchange
2/24/2016,Asia Fashion Holdings Ltd,Q85A GR,Q851 GR,Unofficial Change to Comply with Exchange
2/24/2016,Delong Holdings Ltd,D8HA GR,D8HN GR,Unofficial Change to Comply with Exchange
2/26/2016,Gol Linhas Aereas Inteligentes SA,GOQ GR,GOQN GR,Unofficial Change to Comply with Exchange
2/26/2016,Lyxor Pan Africa UCITS ETF,LYXPAF GR,LGQM GR,No Reason Supplied by Exchange
2/29/2016,Vista Gold Corp,VGL GR,JEJ GR,No Reason Supplied by Exchange
2/29/2016,Kuuhubb Inc,59BE GR,59BF GR,Reverse Stock Split
2/29/2016,DarioHealth Corp,LS1 GR,LS1N GR,Reverse Stock Split
2/29/2016,Strikepoint Gold Inc,NK6 GR,NK6N GR,Reverse Stock Split
3/1/2016,ISC Business Technology AG,I5Q GR,I5Q1 GR,Reverse Stock Split
3/1/2016,Resource Capital Gold Corp,GNL GR,GNL1 GR,Unofficial Change to Comply with Exchange
3/1/2016,China Techfaith Wireless Communication Technology Ltd,CW3 GR,CW31 GR,Unofficial Change to Comply with Exchange
3/1/2016,NEO Battery Materials Ltd,1BC1 GR,1BC2 GR,Unofficial Change to Comply with Exchange
3/2/2016,Sino-German United AG,GEB GR,GEBK GR,Reverse Stock Split
3/2/2016,Paragon Shipping Inc,3P82 GR,3P83 GR,Unofficial Change to Comply with Exchange
3/2/2016,China Sinostar Group Co Ltd,SQKB GR,SQKS GR,Unofficial Change to Comply with Exchange
3/3/2016,Genesis Metals Corp,4TE1 GR,4TE2 GR,Unofficial Change to Comply with Exchange
3/4/2016,Dexia SA,DXB GR,DXBA GR,Reverse Stock Split
3/4/2016,SBF AG,CY1 GR,CY1K GR,Reverse Stock Split
3/7/2016,Nuvo Pharmaceuticals Inc,DLAN GR,23N GR,Unofficial Change to Comply with Exchange
3/7/2016,AIkido Pharma Inc,BP2P GR,BP2N GR,Unofficial Change to Comply with Exchange
3/8/2016,ThermoGenesis Holdings Inc,THRA GR,THRN GR,Unofficial Change to Comply with Exchange
3/8/2016,Cellectar Biosciences Inc,NV4P GR,NV4N GR,Unofficial Change to Comply with Exchange
3/9/2016,Westwater Resources Inc,UCC2 GR,UCCN GR,Unofficial Change to Comply with Exchange
3/9/2016,Linc Energy Ltd,L7EA GR,L7EN GR,Unofficial Change to Comply with Exchange
3/11/2016,DryShips Inc,GQT GR,GQTN GR,Reverse Stock Split
3/14/2016,Revolution Lighting Technologies Inc,YSVA GR,YSVN GR,Unofficial Change to Comply with Exchange
3/14/2016,NewLead Holdings Ltd,A1MT GR,A1MU GR,Unofficial Change to Comply with Exchange
3/14/2016,Tower One Wireless Corp,1P3 GR,1P3N GR,Unofficial Change to Comply with Exchange
3/14/2016,Century Global Commodities Corp,7CI GR,CGA GR,Unofficial Change to Comply with Exchange
3/15/2016,China Demeter Financial Investments Ltd,0OU1 GR,0OU2 GR,Unofficial Change to Comply with Exchange
3/16/2016,Sky Gold Corp,QSGA GR,QSGB GR,Unofficial Change to Comply with Exchange
3/17/2016,Future FinTech Group Inc,P9F GR,P9F1 GR,Unofficial Change to Comply with Exchange
3/18/2016,Invictus MD Strategies Corp,8IS GR,8IS1 GR,Unofficial Change to Comply with Exchange
3/18/2016,QPL International Holdings Ltd,QPL GR,QPLN GR,Unofficial Change to Comply with Exchange
3/21/2016,Opawica Explorations Inc,OE5A GR,OE5C GR,Unofficial Change to Comply with Exchange
3/24/2016,Alterity Therapeutics ltd,PBNA GR,PBNN GR,Unofficial Change to Comply with Exchange
3/24/2016,Eiger BioPharmaceuticals Inc,72C GR,72C1 GR,Unofficial Change to Comply with Exchange
3/24/2016,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,0DFW GR,0DF4 GR,Reverse Stock Split
3/29/2016,Caledonia Mining Corp PLC,MN91 GR,9CD GR,Unofficial Change to Comply with Exchange
3/30/2016,Condor Petroleum Inc/Canada,1CN GR,1CN1 GR,Unofficial Change to Comply with Exchange
3/30/2016,Claritas Pharmaceuticals Inc,S6V2 GR,S6V3 GR,Unofficial Change to Comply with Exchange
3/30/2016,Perpetual Energy Inc,AGG GR,AGGN GR,Unofficial Change to Comply with Exchange
3/31/2016,Riley Exploration Permian Inc,T7U GR,T7UA GR,Unofficial Change to Comply with Exchange
3/31/2016,ParkerVision Inc,PKV GR,PKV1 GR,Unofficial Change to Comply with Exchange
4/1/2016,Riot Blockchain Inc,AP4B GR,AP4N GR,Reverse Stock Split
4/1/2016,Great Basin Scientific Inc,1GB GR,1GBN GR,Unofficial Change to Comply with Exchange
4/6/2016,ROK Resources Inc,8P21 GR,8P2S GR,Unofficial Change to Comply with Exchange
4/7/2016,USP Group Ltd,GNH GR,GNHN GR,Reverse Stock Split
4/7/2016,Tower Resources PLC,ULF GR,ULF1 GR,Unofficial Change to Comply with Exchange
4/8/2016,Horizon Petroleum Ltd,HP0 GR,HPM GR,Unofficial Change to Comply with Exchange
4/11/2016,HIQ International AB,HI8C GR,HI8F GR,Unofficial Change to Comply with Exchange
4/13/2016,Cruz Battery Metals Corp,BRO1 GR,BRO2 GR,Unofficial Change to Comply with Exchange
4/14/2016,ChromaDex Corp,OCD GR,OCD1 GR,Unofficial Change to Comply with Exchange
4/15/2016,Alpha Lithium Corp,2P6 GR,2P61 GR,Reverse Stock Split
4/15/2016,FreeSeas Inc,FS24 GR,FS25 GR,Reverse Stock Split
4/18/2016,Pacific Bauxite Ltd,QRT GR,OQT GR,Unofficial Change to Comply with Exchange
4/18/2016,Xtrackers II US Treasuries Inflation-Linked UCITS ETF,XUIT GR,D5BF GR,Unofficial Change to Comply with Exchange
4/18/2016,Xtrackers II US Treasuries 1-3 UCITS ETF,XUT3 GR,D5BE GR,Unofficial Change to Comply with Exchange
4/19/2016,North Atlantic Drilling Ltd,2NAA GR,2NAC GR,Unofficial Change to Comply with Exchange
4/19/2016,SemiLEDs Corp/Taiwan,6LD GR,6LD1 GR,Unofficial Change to Comply with Exchange
4/19/2016,Ocean Rig UDW Inc,0OR GR,9OR GR,Unofficial Change to Comply with Exchange
4/19/2016,Phio Pharmaceuticals Corp,44R GR,44R1 GR,Unofficial Change to Comply with Exchange
4/19/2016,Amryt Pharma Holdings Ltd,FOI GR,AYP GR,Unofficial Change to Comply with Exchange
4/20/2016,Speed Commerce Inc,NAR GR,NAR1 GR,Reverse Stock Split
4/20/2016,Rhino Resource Partners LP,90R GR,90R1 GR,Reverse Stock Split
4/22/2016,Clere AG,BAF GR,BAFK GR,Reverse Stock Split
4/22/2016,Kaminak Gold Corp,KQ2 GR,KQ2A GR,Unofficial Change to Comply with Exchange
4/22/2016,China Biotech Services Holdings Ltd,2LL2 GR,2LL3 GR,Reverse Stock Split
