effective_date,name,old_ticker,new_ticker,reason
3/17/2011,KNeoMedia Ltd,ESNDA AU,ESN AU,Deferred Delivery
3/17/2011,Eco Systems Ltd,WCR AU,KRA AU,Name Change
3/21/2011,Redbank Energy Ltd,AEJ AU,AEJDA AU,Reclassification of Shares
3/25/2011,Empire Energy Group Ltd,IMP AU,EEG AU,Name Change
3/28/2011,Mission NewEnergy Ltd,MBT AU,MBTDA AU,Reverse Stock Split
3/29/2011,Xceed Resources Ltd,XCDDA AU,XCD AU,Deferred Delivery
3/30/2011,Jatcorp Ltd,JAT AU,JATDA AU,Reverse Stock Split
3/31/2011,Everest Financial Group Ltd,EFGDA AU,EFG AU,Deferred Delivery
4/4/2011,Redbank Energy Ltd,AEJDA AU,AEJ AU,Deferred Delivery
4/5/2011,First Growth Funds Ltd,MCL AU,FGF AU,Name Change
4/5/2011,First Growth Funds Ltd,MCLAM AU,FGFAM AU,Change of Exchange
4/6/2011,Redbank Energy Ltd,AEJ AU,AEJDC AU,Reverse Stock Split
4/11/2011,Mission NewEnergy Ltd,MBTDA AU,MBT AU,Deferred Delivery
4/11/2011,Bluestone Global Ltd,HUM AU,HUMDC AU,Deferred Delivery
4/12/2011,First Debenture Ltd,VBL AU,FIR AU,Name Change
4/12/2011,Jatcorp Ltd,JATDA AU,JAT AU,Deferred Delivery
4/12/2011,First Debenture Ltd,VBLO AU,FIRO AU,Change of Exchange
4/12/2011,First Debenture Ltd,VBLOC AU,FIROC AU,Change of Exchange
4/18/2011,Gratifii Ltd,WGO AU,WGODA AU,Reverse Stock Split
4/20/2011,Arizona Lithium Ltd,ZYL AU,ZYLDC AU,Reverse Stock Split
4/20/2011,Redbank Energy Ltd,AEJDC AU,AEJ AU,Deferred Delivery
4/21/2011,MSM Corp International Ltd,MSC AU,MSCDD AU,Reverse Stock Split
4/21/2011,Lochard Energy Group PLC,RHE AU,LHD AU,Name Change
4/21/2011,ImExHS Ltd,SWW AU,SWWDA AU,Name Change
4/28/2011,Sports Entertainment Group Ltd,PNW AU,PNWDA AU,Reverse Stock Split
4/28/2011,Bluestone Global Ltd,HUMDC AU,HUM AU,Deferred Delivery
4/29/2011,Mayfield Group Holdings Ltd,LRG AU,LRGDA AU,Reverse Stock Split
5/2/2011,Invigor Group Ltd,HYO AU,HYODA AU,Deferred Delivery
5/2/2011,Seven West Media Ltd,WAN AU,SWM AU,Name Change
5/2/2011,Seven West Media Ltd,WANSZX AU,SWMSZX AU,Name Change
5/2/2011,Seven West Media Ltd,WANSZU AU,SWMSZU AU,Name Change
5/4/2011,Arizona Lithium Ltd,ZYLDC AU,ZYL AU,Deferred Delivery
5/6/2011,Gratifii Ltd,WGODA AU,WGO AU,Deferred Delivery
5/9/2011,Palamedia Ltd,PMX AU,PMXDA AU,Reverse Stock Split
5/10/2011,ImExHS Ltd,SWWDA AU,SWW AU,Deferred Delivery
5/10/2011,MSM Corp International Ltd,MSCDD AU,MSC AU,Deferred Delivery
5/10/2011,Intra Energy Corp Ltd,ATQ AU,IEC AU,Name Change
5/10/2011,Intra Energy Corp Ltd,ATQO AU,IECO AU,Name Change
5/11/2011,Auckland Real Estate Trust,RCU AU,RCUDA AU,Deferred Delivery
5/12/2011,Niuminco Group Ltd,DSF AU,DSFDC AU,Deferred Delivery
5/13/2011,Sports Entertainment Group Ltd,PNWDA AU,PNW AU,Deferred Delivery
5/13/2011,Mayfield Group Holdings Ltd,LRGDA AU,LRG AU,Deferred Delivery
5/16/2011,Nelson Resources Ltd,ALG AU,MUB AU,Name Change
5/16/2011,Invigor Group Ltd,HYODA AU,HYO AU,Deferred Delivery
5/16/2011,Nelson Resources Ltd,ALGO AU,MUBO AU,Change of Exchange
5/18/2011,Vonex Ltd,GDN AU,GDNDA AU,Reverse Stock Split
5/19/2011,Australia New Agribusiness & Chemical Group Ltd,DTG AU,DTGDA AU,Reverse Stock Split
5/23/2011,Palamedia Ltd,PMXDA AU,PMX AU,Change of Exchange
5/23/2011,Kalgoorlie Mining Co Ltd,USN AU,KMC AU,Name Change
5/24/2011,iSignthis Ltd,FUT AU,FUTDA AU,Reverse Stock Split
5/24/2011,PanAust Ltd,PNA AU,PNADA AU,Deferred Delivery
5/25/2011,Auckland Real Estate Trust,RCUDA AU,RCU AU,Deferred Delivery
5/26/2011,Niuminco Group Ltd,DSFDC AU,DSF AU,Deferred Delivery
5/30/2011,OZ Minerals Ltd,OZL AU,OZLDA AU,Deferred Delivery
5/30/2011,Yellow Brick Road Holdings Ltd,ITS AU,YBR AU,Name Change
6/1/2011,Brookfield Prime Property Fund,BPACB AU,BPA AU,Reclassification of Shares
6/1/2011,Cycliq Group Ltd,MDA AU,MDADA AU,Reverse Stock Split
6/1/2011,Vonex Ltd,GDNDA AU,GDN AU,Deferred Delivery
6/2/2011,Sino-Excel Energy Ltd,NAL AU,NALDA AU,Reverse Stock Split
6/2/2011,Australia New Agribusiness & Chemical Group Ltd,DTGDA AU,DTG AU,Deferred Delivery
6/3/2011,333D Ltd,OZB AU,OZBDA AU,Reverse Stock Split
6/6/2011,AustChina Holdings Ltd,LOD AU,CBQ AU,Name Change
6/6/2011,Torian Resources Ltd,CFR AU,TNR AU,Name Change
6/7/2011,Kingsgate Chile NL,LRC AU,LRCDA AU,Reverse Stock Split
6/7/2011,iSignthis Ltd,FUTDA AU,FUT AU,Deferred Delivery
6/7/2011,PanAust Ltd,PNADA AU,PNA AU,Deferred Delivery
6/8/2011,Noble Metals Ltd,BAA AU,CPD AU,Name Change
6/9/2011,Mazu Alliance Ltd,GXG AU,GXGDA AU,Deferred Delivery
6/9/2011,China JXY Group Ltd,CJF AU,CJG AU,Name Change
6/10/2011,iSignthis Ltd,FUT AU,OTE AU,Name Change
6/10/2011,iSignthis Ltd,FUTO AU,OTEO AU,Name Change
6/10/2011,iSignthis Ltd,FUTDB AU,OTEDB AU,Name Change
6/14/2011,OZ Minerals Ltd,OZLDA AU,OZL AU,Deferred Delivery
6/15/2011,Lachlan Star Ltd,LSA AU,LSADA AU,Reverse Stock Split
6/16/2011,Cycliq Group Ltd,MDADA AU,MDA AU,Deferred Delivery
6/20/2011,Auscann Group Holdings Ltd,CKRDA AU,CKR AU,Deferred Delivery
6/20/2011,333D Ltd,OZBDA AU,OZB AU,Deferred Delivery
6/21/2011,Allied Gold Mining Ltd,ALD AU,ALDDA AU,Deferred Delivery
6/22/2011,Kingsgate Chile NL,LRCDA AU,LRC AU,Deferred Delivery
6/22/2011,Synertec Corp Ltd,SML AU,SMLDA AU,Deferred Delivery
6/24/2011,Mazu Alliance Ltd,GXGDA AU,GXG AU,Deferred Delivery
6/24/2011,Auscann Group Holdings Ltd,CKR AU,CRW AU,Name Change
6/27/2011,Income Asset Management Group Ltd,QTI AU,TAU AU,Name Change
